"","Survived","Pclass","Sex","SibSp","Parch","Embarked","Child","Title","FamilySize","Age","Fare"
"1","0","3","male",1,0,"S",0,"Mr",2,0.273456094200175,0.014151057562208
"2","1","1","female",1,0,"C",0,"Mrs",2,0.473881999248403,0.139135735382641
"3","1","3","female",0,0,"S",0,"Miss",1,0.323562570462232,0.0154685698179998
"4","1","1","female",1,0,"S",0,"Mrs",2,0.43630214205186,0.10364429745562
"5","0","3","male",0,0,"S",0,"Mr",1,0.43630214205186,0.0157125535690724
"6","0","3","male",0,0,"Q",0,"Mr",1,0.372180103561368,0.0165095020935758
"7","0","1","male",0,0,"S",0,"Mr",1,0.67430790429663,0.101228858320002
"8","0","3","male",3,1,"S",1,"Master",5,0.022923712889891,0.0411356604308324
"9","1","3","female",0,2,"S",0,"Mrs",3,0.336089189527746,0.0217307543665284
"10","1","2","female",1,0,"C",1,"Mrs",2,0.173243141676062,0.0586942926540201
"11","1","3","female",1,1,"S",1,"Miss",3,0.0479769510209195,0.032596229143293
"12","1","1","female",0,0,"S",0,"Miss",1,0.724414380558687,0.0518221487278102
"13","0","3","male",0,0,"S",0,"Mr",1,0.248402856069147,0.0157125535690724
"14","0","3","male",1,5,"S",0,"Mr",7,0.486408618313917,0.0610447345183526
"15","0","3","female",0,0,"S",1,"Miss",1,0.173243141676062,0.0153303774213923
"16","1","2","female",0,0,"S",0,"Mrs",1,0.686834523362145,0.0312299201372867
"17","0","3","male",4,1,"Q",1,"Master",6,0.022923712889891,0.0568482139999047
"18","1","2","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0253743101115455
"19","0","3","female",1,0,"S",0,"Mrs",2,0.386195665789803,0.0351336601544476
"20","1","3","female",0,0,"C",0,"Mrs",1,0.372180103561368,0.0141022608119935
"21","0","2","male",0,0,"S",0,"Mr",1,0.43630214205186,0.0507486202230909
"22","1","2","male",0,0,"S",0,"Mr",1,0.423775522986346,0.0253743101115455
"23","1","3","female",0,0,"Q",1,"Miss",1,0.185769760741576,0.0156719546728939
"24","1","1","male",0,0,"S",0,"Mr",1,0.348615808593261,0.0692913853046049
"25","0","3","female",3,1,"S",1,"Miss",5,0.0980834272829763,0.0411356604308324
"26","1","3","female",1,5,"S",0,"Mrs",7,0.473881999248403,0.0612643198943179
"27","0","3","male",0,0,"C",0,"Mr",1,0.372180103561368,0.0141022608119935
"28","0","1","male",3,2,"S",0,"Mr",6,0.235876237003633,0.513341812256651
